id,created_at,updated_at,form,hin,hin_1,hin_2,hin_3,katsu_kei,katsu_kata,genkei,yomi,hatsu,history_id,user_id
578,"10/07/2014 11:26:45","10/07/2014 11:26:45",　,記号,空白,*,*,*,*,　,　,　,82,
579,"10/07/2014 11:26:45","10/07/2014 11:26:45",長野,名詞,固有名詞,地域,一般,*,*,長野,ナガノ,ナガノ,82,
580,"10/07/2014 11:26:45","10/07/2014 11:26:45",、,記号,読点,*,*,*,*,、,、,、,82,
581,"10/07/2014 11:26:45","10/07/2014 11:26:45",岐阜,名詞,固有名詞,地域,一般,*,*,岐阜,ギフ,ギフ,82,
582,"10/07/2014 11:26:45","10/07/2014 11:26:45",両,接頭詞,名詞接続,*,*,*,*,両,リョウ,リョー,82,
583,"10/07/2014 11:26:45","10/07/2014 11:26:45",県,名詞,一般,*,*,*,*,県,ケン,ケン,82,
584,"10/07/2014 11:26:45","10/07/2014 11:26:45",に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,82,
585,"10/07/2014 11:26:45","10/07/2014 11:26:45",またがる,動詞,自立,*,*,五段・ラ行,基本形,またがる,マタガル,マタガル,82,
586,"10/07/2014 11:26:45","10/07/2014 11:26:45",御嶽山,名詞,固有名詞,一般,*,*,*,御嶽山,ミタケサン,ミタケサン,82,
587,"10/07/2014 11:26:45","10/07/2014 11:26:45",（,記号,括弧開,*,*,*,*,（,（,（,82,
588,"10/07/2014 11:26:45","10/07/2014 11:26:45",おん,名詞,一般,*,*,*,*,おん,オン,オン,82,
589,"10/07/2014 11:26:45","10/07/2014 11:26:45",たけ,名詞,固有名詞,人名,名,*,*,たけ,タケ,タケ,82,
590,"10/07/2014 11:26:45","10/07/2014 11:26:45",さん,名詞,接尾,人名,*,*,*,さん,サン,サン,82,
591,"10/07/2014 11:26:45","10/07/2014 11:26:45",）,記号,括弧閉,*,*,*,*,）,）,）,82,
592,"10/07/2014 11:26:45","10/07/2014 11:26:45",の,助詞,連体化,*,*,*,*,の,ノ,ノ,82,
593,"10/07/2014 11:26:45","10/07/2014 11:26:45",噴火,名詞,サ変接続,*,*,*,*,噴火,フンカ,フンカ,82,
594,"10/07/2014 11:26:45","10/07/2014 11:26:45",で,助詞,格助詞,一般,*,*,*,で,デ,デ,82,
595,"10/07/2014 11:26:45","10/07/2014 11:26:45",、,記号,読点,*,*,*,*,、,、,、,82,
596,"10/07/2014 11:26:45","10/07/2014 11:26:45",長野,名詞,固有名詞,地域,一般,*,*,長野,ナガノ,ナガノ,82,
597,"10/07/2014 11:26:45","10/07/2014 11:26:45",県,名詞,接尾,地域,*,*,*,県,ケン,ケン,82,
598,"10/07/2014 11:26:45","10/07/2014 11:26:45",は,助詞,係助詞,*,*,*,*,は,ハ,ワ,82,
599,"10/07/2014 11:26:45","10/07/2014 11:26:45",３,名詞,数,*,*,*,*,３,サン,サン,82,
600,"10/07/2014 11:26:45","10/07/2014 11:26:45",日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,82,
601,"10/07/2014 11:26:45","10/07/2014 11:26:45",、,記号,読点,*,*,*,*,、,、,、,82,
602,"10/07/2014 11:26:45","10/07/2014 11:26:45",被災,名詞,サ変接続,*,*,*,*,被災,ヒサイ,ヒサイ,82,
603,"10/07/2014 11:26:45","10/07/2014 11:26:45",し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,82,
604,"10/07/2014 11:26:45","10/07/2014 11:26:45",た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,82,
605,"10/07/2014 11:26:45","10/07/2014 11:26:45",と,助詞,格助詞,引用,*,*,*,と,ト,ト,82,
606,"10/07/2014 11:26:45","10/07/2014 11:26:45",み,動詞,自立,*,*,一段,未然形,みる,ミ,ミ,82,
607,"10/07/2014 11:26:45","10/07/2014 11:26:45",られる,動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル,82,
608,"10/07/2014 11:26:45","10/07/2014 11:26:45",行方,名詞,一般,*,*,*,*,行方,ユクエ,ユクエ,82,
609,"10/07/2014 11:26:45","10/07/2014 11:26:45",不明,名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ,82,
610,"10/07/2014 11:26:45","10/07/2014 11:26:45",者,名詞,接尾,一般,*,*,*,者,シャ,シャ,82,
611,"10/07/2014 11:26:45","10/07/2014 11:26:45",が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,82,
612,"10/07/2014 11:26:45","10/07/2014 11:26:45",午前,名詞,副詞可能,*,*,*,*,午前,ゴゼン,ゴゼン,82,
613,"10/07/2014 11:26:45","10/07/2014 11:26:45",９,名詞,数,*,*,*,*,９,キュウ,キュー,82,
614,"10/07/2014 11:26:45","10/07/2014 11:26:45",時,名詞,接尾,助数詞,*,*,*,時,ジ,ジ,82,
615,"10/07/2014 11:26:45","10/07/2014 11:26:45",現在,名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ,82,
616,"10/07/2014 11:26:45","10/07/2014 11:26:45",で,助詞,格助詞,一般,*,*,*,で,デ,デ,82,
617,"10/07/2014 11:26:45","10/07/2014 11:26:45",１,名詞,数,*,*,*,*,１,イチ,イチ,82,
618,"10/07/2014 11:26:45","10/07/2014 11:26:45",６,名詞,数,*,*,*,*,６,ロク,ロク,82,
619,"10/07/2014 11:26:45","10/07/2014 11:26:45",人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,82,
620,"10/07/2014 11:26:45","10/07/2014 11:26:45",と,助詞,格助詞,引用,*,*,*,と,ト,ト,82,
621,"10/07/2014 11:26:45","10/07/2014 11:26:45",発表,名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー,82,
622,"10/07/2014 11:26:45","10/07/2014 11:26:45",し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,82,
623,"10/07/2014 11:26:45","10/07/2014 11:26:45",た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,82,
624,"10/07/2014 11:26:45","10/07/2014 11:26:45",。,記号,句点,*,*,*,*,。,。,。,82,
625,"10/07/2014 11:26:45","10/07/2014 11:26:45",県内,名詞,一般,*,*,*,*,県内,ケンナイ,ケンナイ,82,
626,"10/07/2014 11:26:45","10/07/2014 11:26:45",外,名詞,接尾,一般,*,*,*,外,ガイ,ガイ,82,
627,"10/07/2014 11:26:45","10/07/2014 11:26:45",の,助詞,連体化,*,*,*,*,の,ノ,ノ,82,
628,"10/07/2014 11:26:45","10/07/2014 11:26:45",男女,名詞,一般,*,*,*,*,男女,ダンジョ,ダンジョ,82,
629,"10/07/2014 11:26:45","10/07/2014 11:26:45",と,助詞,格助詞,引用,*,*,*,と,ト,ト,82,
630,"10/07/2014 11:26:45","10/07/2014 11:26:45",いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,82,
631,"10/07/2014 11:26:45","10/07/2014 11:26:45",。,記号,句点,*,*,*,*,。,。,。,82,
632,"10/07/2014 11:26:45","10/07/2014 11:26:45",名前,名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,82,
633,"10/07/2014 11:26:45","10/07/2014 11:26:45",や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,82,
634,"10/07/2014 11:26:45","10/07/2014 11:26:45",住所,名詞,一般,*,*,*,*,住所,ジュウショ,ジューショ,82,
635,"10/07/2014 11:26:45","10/07/2014 11:26:45",は,助詞,係助詞,*,*,*,*,は,ハ,ワ,82,
636,"10/07/2014 11:26:45","10/07/2014 11:26:45",公表,名詞,サ変接続,*,*,*,*,公表,コウヒョウ,コーヒョー,82,
637,"10/07/2014 11:26:45","10/07/2014 11:26:45",し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,82,
638,"10/07/2014 11:26:46","10/07/2014 11:26:46",て,助詞,接続助詞,*,*,*,*,て,テ,テ,82,
639,"10/07/2014 11:26:46","10/07/2014 11:26:46",い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,82,
640,"10/07/2014 11:26:46","10/07/2014 11:26:46",ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,82,
641,"10/07/2014 11:26:46","10/07/2014 11:26:46",。,記号,句点,*,*,*,*,。,。,。,82,
642,"10/07/2014 11:26:46","10/07/2014 11:26:46",噴火,名詞,サ変接続,*,*,*,*,噴火,フンカ,フンカ,82,
643,"10/07/2014 11:26:46","10/07/2014 11:26:46",から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,82,
644,"10/07/2014 11:26:46","10/07/2014 11:26:46",４,名詞,数,*,*,*,*,４,ヨン,ヨン,82,
645,"10/07/2014 11:26:46","10/07/2014 11:26:46",日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,82,
646,"10/07/2014 11:26:46","10/07/2014 11:26:46",で,助詞,格助詞,一般,*,*,*,で,デ,デ,82,
647,"10/07/2014 11:26:46","10/07/2014 11:26:46",１,名詞,数,*,*,*,*,１,イチ,イチ,82,
648,"10/07/2014 11:26:46","10/07/2014 11:26:46",週間,名詞,接尾,助数詞,*,*,*,週間,シュウカン,シューカン,82,
649,"10/07/2014 11:26:46","10/07/2014 11:26:46",。,記号,句点,*,*,*,*,。,。,。,82,
650,"10/07/2014 11:26:46","10/07/2014 11:26:46",すでに,副詞,一般,*,*,*,*,すでに,スデニ,スデニ,82,
651,"10/07/2014 11:26:46","10/07/2014 11:26:46",登山,名詞,サ変接続,*,*,*,*,登山,トザン,トザン,82,
652,"10/07/2014 11:26:46","10/07/2014 11:26:46",者,名詞,接尾,一般,*,*,*,者,シャ,シャ,82,
653,"10/07/2014 11:26:46","10/07/2014 11:26:46",４,名詞,数,*,*,*,*,４,ヨン,ヨン,82,
654,"10/07/2014 11:26:46","10/07/2014 11:26:46",７,名詞,数,*,*,*,*,７,ナナ,ナナ,82,
655,"10/07/2014 11:26:46","10/07/2014 11:26:46",人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,82,
656,"10/07/2014 11:26:46","10/07/2014 11:26:46",の,助詞,連体化,*,*,*,*,の,ノ,ノ,82,
657,"10/07/2014 11:26:46","10/07/2014 11:26:46",死亡,名詞,サ変接続,*,*,*,*,死亡,シボウ,シボー,82,
658,"10/07/2014 11:26:46","10/07/2014 11:26:46",が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,82,
659,"10/07/2014 11:26:46","10/07/2014 11:26:46",確認,名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン,82,
660,"10/07/2014 11:26:46","10/07/2014 11:26:46",さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,82,
661,"10/07/2014 11:26:46","10/07/2014 11:26:46",れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,82,
662,"10/07/2014 11:26:46","10/07/2014 11:26:46",て,助詞,接続助詞,*,*,*,*,て,テ,テ,82,
663,"10/07/2014 11:26:46","10/07/2014 11:26:46",いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,82,
664,"10/07/2014 11:26:46","10/07/2014 11:26:46",。,記号,句点,*,*,*,*,。,。,。,82,
665,"10/07/2014 11:26:46","10/07/2014 11:26:46",県警,名詞,一般,*,*,*,*,県警,ケンケイ,ケンケイ,82,
666,"10/07/2014 11:26:46","10/07/2014 11:26:46",や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,82,
667,"10/07/2014 11:26:46","10/07/2014 11:26:46",消防,名詞,一般,*,*,*,*,消防,ショウボウ,ショーボー,82,
668,"10/07/2014 11:26:46","10/07/2014 11:26:46",、,記号,読点,*,*,*,*,、,、,、,82,
669,"10/07/2014 11:26:46","10/07/2014 11:26:46",自衛隊,名詞,固有名詞,組織,*,*,*,自衛隊,ジエイタイ,ジエイタイ,82,
670,"10/07/2014 11:26:46","10/07/2014 11:26:46",は,助詞,係助詞,*,*,*,*,は,ハ,ワ,82,
671,"10/07/2014 11:26:46","10/07/2014 11:26:46",不明,名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ,82,
672,"10/07/2014 11:26:46","10/07/2014 11:26:46",者,名詞,接尾,一般,*,*,*,者,シャ,シャ,82,
673,"10/07/2014 11:26:46","10/07/2014 11:26:46",の,助詞,連体化,*,*,*,*,の,ノ,ノ,82,
674,"10/07/2014 11:26:46","10/07/2014 11:26:46",救助,名詞,サ変接続,*,*,*,*,救助,キュウジョ,キュージョ,82,
675,"10/07/2014 11:26:46","10/07/2014 11:26:46",・,記号,一般,*,*,*,*,・,・,・,82,
676,"10/07/2014 11:26:46","10/07/2014 11:26:46",捜索,名詞,サ変接続,*,*,*,*,捜索,ソウサク,ソーサク,82,
677,"10/07/2014 11:26:46","10/07/2014 11:26:46",活動,名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー,82,
678,"10/07/2014 11:26:46","10/07/2014 11:26:46",に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,82,
679,"10/07/2014 11:26:46","10/07/2014 11:26:46",全力,名詞,一般,*,*,*,*,全力,ゼンリョク,ゼンリョク,82,
680,"10/07/2014 11:26:46","10/07/2014 11:26:46",を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,82,
681,"10/07/2014 11:26:46","10/07/2014 11:26:46",挙げる,動詞,自立,*,*,一段,基本形,挙げる,アゲル,アゲル,82,
682,"10/07/2014 11:26:46","10/07/2014 11:26:46",。,記号,句点,*,*,*,*,。,。,。,82,
683,"10/07/2014 11:26:46","10/07/2014 11:26:46","
",記号,一般,*,*,*,*,*,*,*,82,
684,"10/07/2014 11:26:46","10/07/2014 11:26:46","
",記号,一般,*,*,*,*,*,*,*,82,
685,"10/07/2014 11:26:46","10/07/2014 11:26:46",　,記号,空白,*,*,*,*,　,　,　,82,
686,"10/07/2014 11:26:46","10/07/2014 11:26:46",県,名詞,一般,*,*,*,*,県,ケン,ケン,82,
687,"10/07/2014 11:26:46","10/07/2014 11:26:46",は,助詞,係助詞,*,*,*,*,は,ハ,ワ,82,
688,"10/07/2014 11:26:46","10/07/2014 11:26:46",県警,名詞,一般,*,*,*,*,県警,ケンケイ,ケンケイ,82,
689,"10/07/2014 11:26:46","10/07/2014 11:26:46",や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,82,
